date,datatype,station,value,city
1992-01-01,PRCP,GHCND:BR002548001,109.7,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002548038,94.2,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549004,137.9,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549017,107.4,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549041,97.3,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549075,108.5,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549077,45.7,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549078,33.6,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549081,71.8,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002549082,86.1,"Curitiba, BR"
1992-01-01,PRCP,GHCND:BR002748004,379.8,"Florianopolis, BR"
1992-01-01,PRCP,GHCND:BR002748005,249.8,"Florianopolis, BR"
1992-01-01,PRCP,GHCND:BR002748016,281.2,"Florianopolis, BR"
1992-01-01,PRCP,GHCND:BR002748023,207.7,"Florianopolis, BR"
1992-02-01,PRCP,GHCND:BR001555001,231.6,"Cuiaba, BR"
1992-02-01,PRCP,GHCND:BR001556000,193.1,"Cuiaba, BR"
1992-02-01,PRCP,GHCND:BR002548000,318.6,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002548001,234.3,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002548038,338.3,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549004,255.0,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549017,267.0,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549041,250.2,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549075,246.2,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549077,122.9,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549078,95.6,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549080,128.7,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002549081,167.7,"Curitiba, BR"
1992-02-01,PRCP,GHCND:BR002748004,151.5,"Florianopolis, BR"
1992-02-01,PRCP,GHCND:BR002748005,443.0,"Florianopolis, BR"
1992-02-01,PRCP,GHCND:BR002748016,294.0,"Florianopolis, BR"
1992-02-01,PRCP,GHCND:BR002748023,53.0,"Florianopolis, BR"
1992-03-01,PRCP,GHCND:BR001555001,277.2,"Cuiaba, BR"
1992-03-01,PRCP,GHCND:BR001556000,230.3,"Cuiaba, BR"
1992-03-01,PRCP,GHCND:BR002548000,320.6,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002548001,162.2,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002548038,289.0,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549004,122.5,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549017,251.6,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549041,175.7,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549075,172.0,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549077,144.3,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549078,119.2,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549080,147.7,"Curitiba, BR"
1992-03-01,PRCP,GHCND:BR002549081,191.1,"Curitiba, BR"
